2026-04-21T15:14:58 | ERROR    | cli.order:94 | Validation failed: Side 'INVALID' is invalid. Must be one of: BUY, SELL.
2026-04-21T15:28:53 | ERROR    | cli.order:94 | Validation failed: Price is required for LIMIT orders.
2026-04-21T16:37:57 | INFO     | orders.place_order:57 | Placing order | symbol=BTCUSDT | side=BUY | type=MARKET | qty=0.01 | price=None
2026-04-21T16:37:58 | DEBUG    | client.post:130 | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776785877676, 'recvWindow': 5000}
2026-04-21T16:37:59 | DEBUG    | client._handle_response:92 | API response | status=200 | url=https://testnet.binancefuture.com/fapi/v1/order | body={"orderId":13058133864,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"HuKNwI1YxDEBKDZxEIOKFN","price":"0.00","avgPrice":"0.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1776785878790}
2026-04-21T16:37:59 | INFO     | orders.place_order:64 | Order placed successfully | orderId=13058133864 | status=NEW | executedQty=0.0000
2026-04-21T16:39:39 | INFO     | orders.place_order:57 | Placing order | symbol=BTCUSDT | side=BUY | type=MARKET | qty=0.01 | price=None
2026-04-21T16:39:39 | DEBUG    | client.post:130 | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1776785979440, 'recvWindow': 5000}
2026-04-21T16:39:40 | DEBUG    | client._handle_response:92 | API response | status=200 | url=https://testnet.binancefuture.com/fapi/v1/order | body={"orderId":13058137956,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"CcL1L8WvZkCNwMijnig9pJ","price":"0.00","avgPrice":"0.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1776785979977}
2026-04-21T16:39:40 | INFO     | orders.place_order:64 | Order placed successfully | orderId=13058137956 | status=NEW | executedQty=0.0000
2026-04-21T16:40:31 | INFO     | orders.place_order:57 | Placing order | symbol=BTCUSDT | side=SELL | type=LIMIT | qty=0.01 | price=99999.0
2026-04-21T16:40:31 | DEBUG    | client.post:130 | POST /fapi/v1/order | params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.01, 'price': 99999.0, 'timeInForce': 'GTC', 'timestamp': 1776786031331, 'recvWindow': 5000}
2026-04-21T16:40:32 | DEBUG    | client._handle_response:92 | API response | status=200 | url=https://testnet.binancefuture.com/fapi/v1/order | body={"orderId":13058140458,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"5t1uBVQ3bttPuAKmfE5sSY","price":"99999.00","avgPrice":"0.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1776786031695}
2026-04-21T16:40:32 | INFO     | orders.place_order:64 | Order placed successfully | orderId=13058140458 | status=NEW | executedQty=0.0000
